origen,id_origen,cantidad_original,cantidad_redondeada,producto
kardex,5609,26.460,26,
kardex,5610,32.940,33,
kardex,5611,32.400,32,
kardex,5612,20.520,21,
kardex,5613,21.600,22,
kardex,5614,35.100,35,
kardex,5615,18.900,19,
kardex,5616,36.180,36,
kardex,5617,12.960,13,
kardex,5618,18.360,18,
kardex,5619,20.520,21,
kardex,5620,34.020,34,
kardex,5621,29.700,30,
kardex,5622,24.300,24,
kardex,5624,24.300,24,
kardex,5625,35.100,35,
kardex,5626,19.980,20,
kardex,5627,32.400,32,
kardex,5628,10.800,11,
kardex,5629,17.820,18,
kardex,5630,19.440,19,
kardex,5631,18.900,19,
kardex,5632,14.040,14,
kardex,5633,27.540,28,
kardex,5634,18.900,19,
kardex,5635,21.600,22,
kardex,5636,21.600,22,
kardex,5637,27.540,28,
kardex,5638,27.540,28,
kardex,5639,17.280,17,
kardex,5640,32.940,33,
kardex,5641,19.980,20,
kardex,5642,24.840,25,
kardex,5643,22.140,22,
kardex,5644,20.520,21,
kardex,5645,15.120,15,
kardex,5646,28.620,29,
kardex,5647,34.020,34,
kardex,5648,44.280,44,
kardex,5649,22.140,22,
kardex,6426,53.136,53,
kardex,6427,58.320,58,
kardex,6428,67.392,67,
kardex,6429,64.800,65,
kardex,6430,54.432,54,
kardex,6431,69.984,70,
kardex,6432,32.400,32,
kardex,6433,51.840,52,
kardex,6434,38.880,39,
kardex,6435,62.208,62,
kardex,6436,34.992,35,
kardex,6437,38.880,39,
kardex,6438,50.544,51,
kardex,6439,29.808,30,
kardex,6440,25.920,26,
kardex,6441,36.288,36,
kardex,6442,45.360,45,
kardex,6443,62.208,62,
kardex,6444,38.880,39,
kardex,6445,64.800,65,
kardex,6446,55.728,56,
kardex,6447,54.432,54,
kardex,6448,36.288,36,
kardex,6449,38.880,39,
kardex,6450,60.912,61,
kardex,6451,46.656,47,
kardex,6452,32.400,32,
kardex,6453,47.952,48,
kardex,6454,62.208,62,
kardex,6455,66.096,66,
kardex,6456,46.656,47,
kardex,6457,47.952,48,
kardex,6458,80.352,80,
kardex,6459,51.840,52,
kardex,6460,37.584,38,
kardex,6461,38.880,39,
kardex,6462,38.880,39,
kardex,6463,47.952,48,
kardex,6464,51.840,52,
kardex,6465,53.136,53,
kardex,6466,77.760,78,
kardex,6467,71.280,71,
kardex,6468,42.768,43,
kardex,6469,64.800,65,
kardex,6470,38.880,39,
kardex,6471,82.944,83,
kardex,6472,31.104,31,
kardex,6473,34.992,35,
kardex,6474,38.880,39,
kardex,6475,81.648,82,
kardex,6476,59.616,60,
kardex,6477,58.320,58,
kardex,6478,63.504,64,
kardex,6479,45.360,45,
kardex,6480,75.168,75,
kardex,6481,46.656,47,
kardex,6482,38.880,39,
kardex,6483,41.472,41,
kardex,6484,25.920,26,
kardex,6485,42.768,43,
kardex,6486,42.768,43,
kardex,6487,44.064,44,
kardex,6488,31.104,31,
kardex,6489,38.880,39,
kardex,6490,67.392,67,
kardex,6491,54.432,54,
kardex,6492,51.840,52,
kardex,6493,37.584,38,
kardex,6494,66.096,66,
kardex,6495,66.096,66,
kardex,6496,41.472,41,
kardex,6497,77.760,78,
kardex,6498,57.024,57,
kardex,6499,55.728,56,
kardex,6500,49.248,49,
kardex,6501,47.952,48,
kardex,6502,34.992,35,
kardex,6503,51.840,52,
kardex,6504,64.800,65,
kardex,6505,110.160,110,
kardex,6506,49.248,49,
kardex,6902,41.631,42,
kardex,6903,45.663,46,
kardex,6904,52.719,53,
kardex,6905,50.703,51,
kardex,6906,42.639,43,
kardex,6907,54.735,55,
kardex,6908,25.503,26,
kardex,6909,40.623,41,
kardex,6910,30.543,31,
kardex,6911,48.687,49,
kardex,6912,27.519,28,
kardex,6913,30.543,31,
kardex,6914,39.615,40,
kardex,6918,23.487,23,
kardex,6919,20.463,20,
kardex,6920,28.527,29,
kardex,6921,35.584,36,
kardex,6922,48.688,49,
kardex,6923,30.544,31,
kardex,6924,50.704,51,
kardex,6925,43.648,44,
kardex,6926,42.640,43,
kardex,6927,28.528,29,
kardex,6928,30.544,31,
kardex,6929,47.680,48,
kardex,6930,36.592,37,
kardex,6931,25.504,26,
kardex,6932,37.600,38,
kardex,6933,48.688,49,
kardex,6934,51.712,52,
kardex,6935,36.592,37,
kardex,6936,37.600,38,
kardex,6937,62.800,63,
kardex,6938,40.624,41,
kardex,6939,29.536,30,
kardex,6940,30.544,31,
kardex,6941,30.544,31,
kardex,6942,37.600,38,
kardex,6943,40.624,41,
kardex,6944,41.632,42,
kardex,6945,60.784,61,
kardex,6946,55.744,56,
kardex,6947,33.568,34,
kardex,6948,50.704,51,
kardex,6949,30.544,31,
kardex,6950,64.816,65,
kardex,6951,24.496,24,
kardex,6952,27.520,28,
kardex,6953,30.544,31,
kardex,6954,63.808,64,
kardex,6955,46.672,47,
kardex,6956,45.664,46,
kardex,6957,49.696,50,
kardex,6958,35.584,36,
kardex,6959,58.768,59,
kardex,6960,36.592,37,
kardex,6961,30.544,31,
kardex,6962,32.560,33,
kardex,6963,20.464,20,
kardex,6964,33.568,34,
kardex,6965,33.568,34,
kardex,6966,34.576,35,
kardex,6967,24.496,24,
kardex,6968,30.544,31,
kardex,6969,52.720,53,
kardex,6970,42.640,43,
kardex,6971,40.624,41,
kardex,6972,29.536,30,
kardex,6973,51.712,52,
kardex,6974,51.712,52,
kardex,6975,32.560,33,
kardex,6976,60.784,61,
kardex,6977,44.656,45,
kardex,6978,43.648,44,
kardex,6979,38.608,39,
kardex,6980,37.600,38,
kardex,6981,27.520,28,
kardex,6982,40.624,41,
kardex,6983,50.704,51,
kardex,6984,85.984,86,
kardex,6985,38.608,39,
detalle_pecosa,3282,19.839,20,
detalle_pecosa,3283,25.285,25,
detalle_pecosa,3284,31.120,31,
detalle_pecosa,3285,17.894,18,
detalle_pecosa,3286,28.397,28,
detalle_pecosa,3287,12.837,13,
detalle_pecosa,3288,14.393,14,
detalle_pecosa,3289,23.340,23,
detalle_pecosa,3290,15.949,16,
detalle_pecosa,3291,18.672,19,
detalle_pecosa,3292,14.004,14,
detalle_pecosa,3293,11.670,12,
detalle_pecosa,3294,15.560,16,
detalle_pecosa,3295,19.839,20,
detalle_pecosa,3314,14.004,14,
detalle_pecosa,3315,19.839,20,
detalle_pecosa,3316,14.393,14,
detalle_pecosa,3317,13.226,13,
detalle_pecosa,3318,27.619,28,
detalle_pecosa,3319,11.670,12,
detalle_pecosa,3320,20.228,20,
detalle_pecosa,3321,18.672,19,
detalle_pecosa,3322,14.393,14,
detalle_pecosa,3323,14.004,14,
detalle_pecosa,3324,21.395,21,
detalle_pecosa,3325,22.951,23,
detalle_pecosa,3326,12.059,12,
detalle_pecosa,3327,24.118,24,
detalle_pecosa,3328,19.061,19,
detalle_pecosa,3329,23.340,23,
detalle_pecosa,3330,20.228,20,
detalle_pecosa,3331,14.393,14,
detalle_pecosa,3332,20.228,20,
detalle_pecosa,3333,28.786,29,
detalle_pecosa,3334,22.951,23,
detalle_pecosa,3335,18.672,19,
detalle_pecosa,3336,17.505,18,
detalle_pecosa,3337,14.782,15,
detalle_pecosa,3338,15.560,16,
detalle_pecosa,3339,12.837,13,
detalle_pecosa,3340,26.841,27,
detalle_pecosa,3341,19.061,19,
detalle_pecosa,3342,28.397,28,
detalle_pecosa,3343,26.063,26,
detalle_pecosa,3344,15.560,16,
detalle_pecosa,3345,15.560,16,
detalle_pecosa,3346,29.564,30,
detalle_pecosa,3347,17.894,18,
detalle_pecosa,3348,26.841,27,
detalle_pecosa,3349,14.393,14,
detalle_pecosa,3350,16.338,16,
detalle_pecosa,3351,13.615,14,
detalle_pecosa,3352,27.619,28,
detalle_pecosa,3353,22.173,22,
detalle_pecosa,3354,17.505,18,
detalle_pecosa,3355,19.450,19,
detalle_pecosa,3356,21.395,21,
detalle_pecosa,3357,26.452,26,
detalle_pecosa,3358,13.226,13,
detalle_pecosa,3359,26.452,26,
detalle_pecosa,3360,14.004,14,
